Address	                                        Delegation    	Slash amount	Compensation
cosmos1kx0d6emuwak5nh03xfykd8eeffn6mykhph7kmm	127.453504	0.01274535	0.019118026
cosmos1m74zj2duq6aqunjz4syec6wtquxygrkpdx65cf	125.198479	0.012519848	0.018779772
cosmos1aw8msq28rk7rgkqlkrrkl9ryp5pyjc4e7nl3sh	125.1	0.01251	0.018765
cosmos1yf8cz94vuq2h55yna6py6dm4j5am398edhys5x	125	0.0125	0.01875
cosmos1t8vgusehml5aqghd3nq48jl5z46y4gut3upygj	124	0.0124	0.0186
cosmos1uaacc939t6duawcrqz4zdqlsyuu42nfrd7pkhk	123.774948	0.012377495	0.018566242
cosmos12mqgfxh25tqrl4xz39z0t67r4q024c7qj350j9	123.188388	0.012318839	0.018478258
cosmos1zmedgkdq37874vqsnjnmhf4x0q2jp9yf4hvg57	122	0.0122	0.0183
cosmos1huax95sqrlr4atsh4q0d6eh8gjxct5m432gvvr	121.093727	0.012109373	0.018164059
cosmos1lw2rth4gf56h0p2ly3nfdfclqh56uctad6n2pw	121	0.0121	0.01815
cosmos1fzenf236n4kjgytk9xqg9nu8ejk270sxkw3ul3	120	0.012	0.018
cosmos15dymd0ms29fgngte4n7aadeapyjvx6tq9jgsse	120	0.012	0.018
cosmos1yzpcazmzgd0ms05wr9cxutyz60v4p8hm52atd2	119	0.0119	0.01785
cosmos1kjqnuzfr6dxa8t5vjkgqtzl0t3n27qlnkxpt9z	118.458794	0.011845879	0.017768819
cosmos16hu0awastmdykq46efyr4lgfvyku6k8f0g554j	118.226451	0.011822645	0.017733968
cosmos1222dwtkgadaz2l603c508e4737y2n8zhlujgup	118.148161	0.011814816	0.017722224
cosmos1xwseskrmnxrvesmad0xtyfvl3lx7xzkktpnpkq	117.656181	0.011765618	0.017648427
cosmos1lgyu20hu5szq7d626thjq3jk7auhnudx4mm2ay	114	0.0114	0.0171
cosmos1j48k7smfugl74d0xthf9devsndxva7vg82w69x	113.497349	0.011349735	0.017024602
cosmos1thzjvvv6wmfv2w7jd0gwdh3r7j49yxtxmmz2wn	113.364299	0.01133643	0.017004645
cosmos1e65l70w3clrpt9mqkfh6redtqjgevkmg2vvfyp	111.881277	0.011188128	0.016782192
cosmos16uccu3szqh7qwcnqe5qkjk5dxgs25zqdze9tqw	111.841794	0.011184179	0.016776269
cosmos19u4e4yl60nm3xh7nrywuc4ju429m8dgryue67c	111.4	0.01114	0.01671
cosmos1elwv7t0vcstt7nk9gerk4hsxcgwnvfncuj5u6r	111.392916	0.011139292	0.016708937
cosmos1dvswdp2hl9q0sg06ecqgtq8f4gl6lmg64j2ard	110.9889	0.01109889	0.016648335
cosmos1jawfmwjrkn2elpm3crclzn59tla8dyy5u3md87	110.083384	0.011008338	0.016512508
cosmos15pweldyc3vj225kkjw40987z52r3q4zwvsa0pm	110	0.011	0.0165
cosmos1z9r4ffpnt8fsnevapxss2x2l057x0d0mkc7rma	109.450295	0.01094503	0.016417544
cosmos15780wjg8q7fn83q3t29nc2u4zerf864dv98agg	107.8	0.01078	0.01617
cosmos14z2n9cwkq7uxr4k09tgln6vg9chvegwjzedgsr	107.25597	0.010725597	0.016088396
cosmos1rmqcfs6lhl6wufcfcfcceeaqcs2hfzeph07g39	107	0.0107	0.01605
cosmos1f3eamx3m2en8zmew2hgtqheftsxxr56a9u4p79	107	0.0107	0.01605
cosmos1fe5vgkl2h2vkhdq5qayvrkrqc3z6hmeqtdlkur	107	0.0107	0.01605
cosmos1jlansk5dzdps0yzm75vry070ugfarkqdlnhz73	106.80813	0.010680813	0.01602122
cosmos18zd9rdqqjwkj4cmctywykzwuzdh9ktj6kx896f	106.668267	0.010666827	0.01600024
cosmos19sc8d5yun7j7aftrfjeqhqxswsy0uvk7qjawt0	106.648685	0.010664869	0.015997303
cosmos1h5vq8ty30vgwrd96tkg5a45jpk0jx06gsy0cdc	106.62005	0.010662005	0.015993008
cosmos1pm4dnynlqyhp52kddpcsd2ue6f8svs02kc5rsm	106.551065	0.010655107	0.01598266
cosmos1h60gte89dymvlveazr3dhp0rpqm2r3f6dswvw5	106.30823	0.010630823	0.015946235
cosmos18zte837h9tztkufqv5u79rnuhat5vvqsken7fj	106	0.0106	0.0159
cosmos1nn0htvw4kpfe2k08zx2ms8rw8z36gqndeyyxfc	106	0.0106	0.0159
cosmos1u8326azpyuac5uv8p3fle0d9u2u6fh6t7yhqge	106	0.0106	0.0159
cosmos107ygy4dk0dc7n4y90c3mfwjyavqd3g4wrmsjt6	105.9899	0.01059899	0.015898485
cosmos16hwgq6wnhz8c039406588y7kkxg0htw4kfdkca	105.65	0.010565	0.0158475
cosmos1fp7lar7valvpajdxealzhaf5julcpvrl9fsup7	105.550078	0.010555008	0.015832512
cosmos1ptxfhlh83vp9yxkgfjffvxrp226jc6xql5tlgw	105.503109	0.010550311	0.015825466
cosmos182g02vf4pc03rmugjru9urpy5ue5w9ckghh96z	105.5	0.01055	0.015825
cosmos198lf2d7405wukw800jalhw4y56yegtrmwkms6f	105.3	0.01053	0.015795
cosmos1mz4kvlr92s02ttszn2jypgrw5vnxw9fx6vf8wd	105.053936	0.010505394	0.01575809
